1,Christian McCaffrey,RB,CAR
2,Ezekiel Elliott,RB,DAL
3,Saquon Barkley,RB,NYG
4,Alvin Kamara,RB,NO
5,Dalvin Cook,RB,MIN
6,Derrick Henry,RB,TEN
7,Clyde Edwards-Helaire,RB,KC
8,Michael Thomas,WR,NO
9,Josh Jacobs,RB,LV
10,Nick Chubb,RB,CLE
11,DeAndre Hopkins,WR,ARI
12,Kenyan Drake,RB,ARI
13,Aaron Jones,RB,GB
14,Miles Sanders,RB,PHI
15,Davante Adams,WR,GB
16,Julio Jones,WR,ATL
17,Tyreek Hill,WR,KC
18,Austin Ekeler,RB,LAC
19,Chris Godwin,WR,TB
20,Joe Mixon,RB,CIN
21,Travis Kelce,TE,KC
22,George Kittle,TE,SF
23,Lamar Jackson,QB,BAL
24,Mike Evans,WR,TB
25,Patrick Mahomes,QB,KC
26,Adam Thielen,WR,MIN
27,Odell Beckham Jr.,WR,CLE
28,Dak Prescott,QB,DAL
29,Kenny Golladay,WR,DET
30,DJ Moore,WR,CAR
31,Todd Gurley II,RB,ATL
32,Courtland Sutton,WR,DEN
33,Chris Carson,RB,SEA
34,A.J. Brown,WR,TEN
35,David Johnson,RB,HOU
36,James Conner,RB,PIT
37,Amari Cooper,WR,DAL
38,Mark Andrews,TE,BAL
39,Le'Veon Bell,RB,KC
40,Allen Robinson II,WR,CHI
41,JuJu Smith-Schuster,WR,PIT
42,Tyler Lockett,WR,SEA
43,Calvin Ridley,WR,ATL
44,Zach Ertz,TE,PHI
45,Terry McLaurin,WR,WSH
46,Robert Woods,WR,LAR
47,Deshaun Watson,QB,HOU
48,Melvin Gordon III,RB,DEN
49,Cooper Kupp,WR,LAR
50,Jonathan Taylor,RB,IND
51,Jarvis Landry,WR,CLE
52,Russell Wilson,QB,SEA
53,Darren Waller,TE,LV
54,T.Y. Hilton,WR,IND
55,Evan Engram,TE,NYG
56,Devin Singletary,RB,BUF
57,Cam Akers,RB,LAR
58,Keenan Allen,WR,LAC
59,DJ Chark Jr.,WR,JAX
60,Kyler Murray,QB,ARI
61,Kareem Hunt,RB,CLE
62,D'Andre Swift,RB,DET
63,DK Metcalf,WR,SEA
64,Raheem Mostert,RB,SF
65,Tyler Higbee,TE,LAR
66,Tom Brady,QB,TB
67,Will Fuller V,WR,HOU
68,DeVante Parker,WR,MIA
69,Leonard Fournette,RB,TB
70,James White,RB,NE
71,Jared Cook,TE,NO
72,Marquise Brown,WR,BAL
73,A.J. Green,WR,CIN
74,Antonio Gibson,RB,WSH
75,David Montgomery,RB,CHI
76,Stefon Diggs,WR,BUF
77,Sterling Shepard,WR,NYG
78,Tyler Boyd,WR,CIN
79,Mark Ingram II,RB,BAL
80,Michael Gallup,WR,DAL
81,Deebo Samuel,WR,SF
82,Josh Allen,QB,BUF
83,Tarik Cohen,RB,CHI
84,Matt Ryan,QB,ATL
85,Kerryon Johnson,RB,DET
86,Julian Edelman,WR,NE
87,Jordan Howard,RB,MIA
88,Brandin Cooks,WR,HOU
89,Henry Ruggs III,WR,LV
90,Marvin Jones Jr.,WR,DET
91,Drew Brees,QB,NO
92,Rob Gronkowski,TE,TB
93,J.K. Dobbins,RB,BAL
94,DeSean Jackson,WR,PHI
95,Harrison Butker,K,KC
96,Steelers D/ST,D/ST,PIT
97,Ronald Jones II,RB,TB
98,Wil Lutz,K,NO
99,Jamison Crowder,WR,NYJ
100,Diontae Johnson,WR,PIT
101,Phillip Lindsay,RB,DEN
102,Hunter Henry,TE,LAC
103,Patriots D/ST,D/ST,NE
104,Matt Breida,RB,MIA
105,Jerry Jeudy,WR,DEN
106,Ravens D/ST,D/ST,BAL
107,Bills D/ST,D/ST,BUF
108,49ers D/ST,D/ST,SF
109,Noah Fant,TE,DEN
110,Golden Tate,WR,NYG
111,Zack Moss,RB,BUF
112,Preston Williams,WR,MIA
113,CeeDee Lamb,WR,DAL
114,Mike Gesicki,TE,MIA
115,Christian Kirk,WR,ARI
